左图,右图,探测点位置,性别,情绪类型,情绪面孔位置,图片,探测点一致性,控制条件,反应时间,实际反应,正确与否,总体正确率,学号,电话号码,组别
(厌恶)11444/厌恶1.png,(中性)11444/中性4.png,左,1,54,1,1,1,524,0.450618743896484,F,1,83.3%,="213",="123",12312
(悲伤)11444/悲伤1.png,(愤怒)11444/愤怒3.png,左,2,1,4,55,1,1111,0.466997146606445,F,1,,="",="",
(中性)11444/愤怒2.png,(强愤怒)11444/中性3.png,左,1,1,1,1,2,1111,0.567901611328125,J,0,,="",="",
(厌恶)11444/厌恶1.png,(中性)11444/中性4.png,左,1,54,1,1,1,524,0.450662612915039,F,1,,="",="",
(悲伤)11444/悲伤1.png,(愤怒)11444/愤怒3.png,左,2,1,4,55,1,1111,0.550399780273438,F,1,,="",="",
(中性)11444/愤怒2.png,(强愤怒)11444/中性3.png,左,1,1,1,1,2,1111,0.450405120849609,F,1,,="",="",
