左图,右图,探测点位置,性别,情绪类型,情绪面孔位置,图片,探测点一致性,控制条件,反应时间,实际反应,正确与否,总体正确率,学号,电话号码,组别
(厌恶)11444/厌恶1.png,(中性)11444/中性4.png,左,1,54,1,1,1,524,0.633932113647461,F,1,100.0%,="132",="213",213
(悲伤)11444/悲伤1.png,(愤怒)11444/愤怒3.png,左,2,1,4,55,1,1111,0.583921432495117,F,1,,="",="",
(中性)11444/愤怒2.png,(强愤怒)11444/中性3.png,左,1,1,1,1,2,1111,0.400516510009766,F,1,,="",="",
(悲伤)11444/悲伤1.png,(愤怒)11444/愤怒3.png,左,2,1,4,55,1,1111,0.501121520996094,F,1,,="",="",
(厌恶)11444/厌恶1.png,(中性)11444/中性4.png,左,1,54,1,1,1,524,0.550830841064453,F,1,,="",="",
(中性)11444/愤怒2.png,(强愤怒)11444/中性3.png,左,1,1,1,1,2,1111,0.434478759765625,F,1,,="",="",
